,Chimborazo,Cotopaxi,Guayas,Imbabura,Loja,Pichincha,Acu-Chimborazo,Acu-Cotopaxi,Acu-Guayas,Acu-Imbabura,Acu-Loja,Acu-Pichincha,Acu-Pichincha1,Acu-Pichincha2
01/01/2020,0.80,0.66,21.54,3.33,2.33,6.68,0.80,0.66,21.54,3.33,2.33,6.68,0.80,4.659.661.905
02/01/2020,-1.20,-3.34,23.54,0.33,-0.67,-0.32,-0.40,-2.67,45.08,3.66,1.66,6.35,0.40,4.745.395.238
03/01/2020,1.80,-3.34,16.54,1.33,0.33,10.68,1.40,-6.01,61.63,4.99,0.33,17.03,1.80,4.741.128.571
04/01/2020,3.80,-3.34,2.54,1.33,-2.67,10.68,5.20,-9.34,64.17,6.32,-2.34,27.71,7.00,4.686.861.905
05/01/2020,2.80,0.66,13.54,1.33,2.33,1.68,8.00,-8.68,77.71,7.65,2.33,29.39,15.00,4.882.595.238
06/01/2020,-0.20,0.66,12.54,-1.67,6.33,0.68,7.80,-8.01,90.25,5.97,8.66,30.06,22.80,4.968.328.571
07/01/2020,-1.20,0.66,6.54,-0.67,-2.67,2.68,6.60,-7.35,96.79,5.30,-2.67,32.74,29.40,5.054.061.905
08/01/2020,1.80,-1.34,16.54,-5.67,-0.67,-5.32,8.40,-8.68,113.34,-0.37,-3.34,27.42,37.80,5.029.795.238
09/01/2020,3.80,-1.34,10.54,1.33,2.33,3.68,12.20,-10.02,123.88,0.96,2.33,31.10,50.00,5.205.528.571
10/01/2020,4.80,-4.34,3.54,-3.67,6.33,0.68,17.00,-14.35,127.42,-2.71,8.66,31.77,67.00,5.281.261.905
11/01/2020,1.80,-0.34,-2.46,1.33,-3.67,4.68,18.80,-14.69,124.96,-1.38,-3.67,36.45,85.80,5.386.995.238
12/01/2020,1.80,-2.34,6.54,2.33,2.33,11.68,20.60,-17.03,131.50,0.95,-1.34,48.13,106.40,5.502.728.571
13/01/2020,-0.20,-4.34,30.54,2.33,1.33,-0.32,20.40,-21.36,162.05,3.28,1.33,47.81,126.80,5.668.461.905
14/01/2020,-0.20,2.66,3.54,0.33,2.33,1.68,20.20,-18.70,165.59,3.61,3.66,49.48,147.00,5.794.195.238
15/01/2020,0.80,1.66,-9.46,2.33,0.33,10.68,21.00,-17.03,156.13,5.94,0.33,60.16,168.00,5.899.928.571
16/01/2020,-0.20,-2.34,-2.46,2.33,-1.67,-8.32,20.80,-19.37,153.67,8.26,-1.34,51.84,188.80,6.000.960.829
17/01/2020,-3.20,1.66,8.54,-1.67,-1.67,8.68,17.60,-17.70,162.21,6.59,-1.67,60.52,206.40,6.081.993.088
18/01/2020,-1.20,-0.34,1.54,0.33,0.33,10.68,16.40,-18.04,163.75,6.92,-1.34,71.19,222.80,6.273.025.346
19/01/2020,4.80,4.66,30.54,0.33,-1.67,-10.32,21.20,-13.37,194.30,7.25,-1.67,60.87,244.00,6.404.057.604
20/01/2020,2.80,-1.34,20.54,-0.67,0.33,6.68,24.00,-14.71,214.84,6.58,-1.34,67.55,268.00,6.635.089.862
21/01/2020,5.80,-3.34,0.54,-1.67,0.33,6.68,29.80,-18.05,215.38,4.91,0.33,74.23,297.80,688.612.212
22/01/2020,-3.20,-3.34,-0.46,2.33,1.33,-5.32,26.60,-21.38,214.92,7.24,1.66,68.90,324.40,6.997.154.378
23/01/2020,-4.20,-0.34,3.54,1.33,-0.67,-14.32,22.40,-21.72,218.46,8.57,-0.67,54.58,346.80,7.048.186.636
