N_experiment,N_indv,N_pasos,p_repro,p_muta,n_surv,I0,cross_mode,muta_mode,select_mode,best_adapta,JaccI,JaccP,SorsP,indv,sigma,gamma,beta,f
1,100,1000,0.95,0.4,4,1,bt_par,m4_point,st_lib,1.1899755421624687e-08,0.7112194493386443,0.5658196679030599,0.7062992091477733,,0.7716535433070866,0.8267716535433071,0.952755905511811,0.007874015748031496
2,100,1000,0.95,0.4,4,1,wt_par,m4_point,st_lib,1.1874328112322779e-08,0.6971679551324688,0.5496115569288829,0.6950167327198,,0.7165354330708661,0.7559055118110236,0.7086614173228346,0.07086614173228346
3,100,1000,0.95,0.4,4,1,bt_wt_par,m4_point,st_lib,1.1896280759126898e-08,0.77362022843189,0.6526697532334771,0.7781424495316909,,0.4409448818897638,0.6377952755905512,0.5511811023622047,0.007874015748031496
4,100,1000,0.95,0.4,4,1,bk1_par,m4_point,st_lib,1.1811185002792084e-08,0.7513028156836257,0.6290269344232726,0.7617187290357921,,0.6062992125984252,0.7637795275590551,0.11811023622047244,0.007874015748031496
5,100,1000,0.95,0.4,4,1,bk4_par,m4_point,st_lib,1.1627319497159736e-08,0.7329351023770824,0.6036364997945767,0.7437909864209613,,0.9133858267716536,0.6299212598425197,0.7480314960629921,0.007874015748031496
6,200,1000,0.95,0.4,4,1,bt_par,m4_point,st_lib,1.1861287293698856e-08,0.7441640478598438,0.6124710003094966,0.7498088977180698,,0.7480314960629921,0.8110236220472441,0.937007874015748,0.0
7,200,1000,0.95,0.4,4,1,wt_par,m4_point,st_lib,1.1900064909241722e-08,0.723103660211607,0.5857609558625969,0.7267899646917059,,0.7401574803149606,0.8031496062992126,0.8976377952755905,0.023622047244094488
8,200,1000,0.95,0.4,4,1,bt_wt_par,m4_point,st_lib,1.1861287293698856e-08,0.7285358469780292,0.5952142840415846,0.7378387627375298,,0.7086614173228346,0.905511811023622,0.984251968503937,0.07086614173228346
9,200,1000,0.95,0.4,4,1,bk1_par,m4_point,st_lib,1.1881358100948537e-08,0.5945793163163879,0.4742499542443409,0.6314557154033347,,0.5748031496062992,0.6692913385826772,0.8818897637795275,0.03937007874015748
10,200,1000,0.95,0.4,4,1,bk4_par,m4_point,st_lib,1.1892818262882344e-08,0.7170251209526085,0.5782172836203839,0.7224109612556454,,0.4015748031496063,0.2047244094488189,0.6771653543307087,0.5669291338582677
11,50,1000,0.95,0.4,4,1,bt_par,m4_point,st_lib,6.222968545149054e-09,0.8093471028864658,0.6965516797230896,0.8118804266433404,,0.8582677165354331,0.7086614173228346,0.7559055118110236,0.007874015748031496
12,50,1000,0.95,0.4,4,1,wt_par,m4_point,st_lib,6.267277604421405e-09,0.7252252077914952,0.6023951416858654,0.7414652547641423,,0.7795275590551181,0.2992125984251969,0.7874015748031497,0.13385826771653545
13,50,1000,0.95,0.4,4,1,bt_wt_par,m4_point,st_lib,6.239403687940395e-09,0.7764310511814776,0.6501454522063097,0.7752705367436042,,0.8188976377952756,0.33858267716535434,0.11811023622047244,0.8740157480314961
14,50,1000,0.95,0.4,4,1,bk1_par,m4_point,st_lib,6.254886656763394e-09,0.8177773022790068,0.712779793716706,0.8245689605460198,,0.9921259842519685,0.7795275590551181,0.968503937007874,0.2755905511811024
15,50,1000,0.95,0.4,4,1,bk4_par,m4_point,st_lib,6.023175364114915e-09,0.833982131989098,0.7293872358304248,0.8364876271778323,,0.952755905511811,0.7086614173228346,0.6220472440944882,0.8110236220472441
16,100,1000,0.95,0.4,4,3,bt_par,m4_point,st_lib,1.1850315677004902e-08,0.71514176302618,0.5777005784702831,0.7199102950500125,,0.968503937007874,0.6614173228346457,0.7637795275590551,0.007874015748031496
17,100,1000,0.95,0.4,4,3,wt_par,m4_point,st_lib,9.298290711456809e-09,0.7641888891912346,0.6300831067963371,0.7634173079428013,,0.7165354330708661,0.16535433070866143,0.5669291338582677,0.889763779527559
18,100,1000,0.95,0.4,4,3,bt_wt_par,m4_point,st_lib,1.1888168115365091e-08,0.7206956203168324,0.5792590446462844,0.7221433137910769,,0.7637795275590551,0.952755905511811,0.9133858267716536,0.0
19,100,1000,0.95,0.4,4,3,bk1_par,m4_point,st_lib,1.1888168115365091e-08,0.7000183311422639,0.5513371837572643,0.695268023423661,,0.7952755905511811,0.15748031496062992,0.9763779527559056,0.007874015748031496
20,100,1000,0.95,0.4,4,3,bk4_par,m4_point,st_lib,1.1855537013616516e-08,0.7742567566036558,0.6504520762690829,0.7730461629147718,,0.0,0.9921259842519685,0.4015748031496063,0.3228346456692913
21,100,1000,0.95,0.4,4,5,bt_par,m4_point,st_lib,1.186808514186218e-08,0.7819212987721076,0.6496853473740205,0.7778401794301091,,1.0,0.6692913385826772,0.6456692913385826,0.007874015748031496
22,100,1000,0.95,0.4,4,5,wt_par,m4_point,st_lib,1.1817982850955408e-08,0.7391226843045728,0.6064927933750806,0.7405733749758359,,0.9763779527559056,0.6692913385826772,0.9291338582677166,0.007874015748031496
23,100,1000,0.95,0.4,4,5,bt_wt_par,m4_point,st_lib,6.251392880571693e-09,0.7515344661445374,0.62183505504829,0.7582481694580412,,0.7165354330708661,0.8267716535433071,0.8346456692913385,1.0
24,100,1000,0.95,0.4,4,5,bk1_par,m4_point,st_lib,1.1892818262882344e-08,0.7200847398168656,0.5906837750146992,0.7309295324990209,,0.9763779527559056,0.6692913385826772,0.7716535433070866,0.007874015748031496
25,100,1000,0.95,0.4,4,5,bk4_par,m4_point,st_lib,1.1899616111045666e-08,0.7290247057532919,0.5969993237309295,0.734776870709231,,0.9763779527559056,0.6692913385826772,0.7716535433070866,0.007874015748031496
26,100,500,0.95,0.4,4,5,bt_par,m4_point,st_lib,1.0706939987879897e-08,0.7764613758240038,0.6497507614467666,0.7776118022831879,,1.0,0.9448818897637795,0.7165354330708661,0.44881889763779526
27,100,500,0.95,0.4,4,5,wt_par,m4_point,st_lib,1.1861287293698856e-08,0.8175801097945887,0.7034186114453136,0.8170902967296658,,0.7480314960629921,0.8110236220472441,0.937007874015748,0.007874015748031496
28,100,500,0.95,0.4,4,5,bt_wt_par,m4_point,st_lib,1.1786451881771921e-08,0.7531488537603243,0.6244216552451263,0.7572559513439505,,0.7874015748031497,0.7952755905511811,0.8740157480314961,0.5118110236220472
29,100,500,0.95,0.4,4,5,bk1_par,m4_point,st_lib,1.1655515114424456e-08,0.7283244456877067,0.6113361207218859,0.7483118599718757,,0.6220472440944882,0.33858267716535434,0.3228346456692913,0.12598425196850394
30,100,500,0.95,0.4,4,5,bk4_par,m4_point,st_lib,6.078010584395791e-09,0.7826302178245762,0.6527862996189355,0.7813292543453807,,0.44881889763779526,0.889763779527559,0.84251968503937,1.0
